<p>¿Qué formulario se utiliza para solicitar un Número Federal de Identificación del Empleador (EIN)?</p>,1,"one, shuffle","Para solicitar un Número Federal de Identificación del Empleador (EIN), se debe completar el Formulario SS-4 del IRS. Este formulario recopila la información necesaria sobre el negocio y sus propietarios. Esto se explica en el Capítulo 14, página 14-1."
*,Formulario SS-4,,
,Formulario W-2,,
,Formulario 1099-MISC,,
,Formulario 940,,
<p>¿Qué agencia emite el Número Federal de Identificación del Empleador (EIN)?</p>,1,"one, shuffle","El Número Federal de Identificación del Empleador (EIN) es emitido por el Servicio de Impuestos Internos (IRS). Esta agencia es responsable de administrar los impuestos federales en los Estados Unidos. Esto está detallado en el Capítulo 14, página 14-1."
*,IRS (Servicio de Impuestos Internos),,
,Departamento de Trabajo,,
,Secretaría de Estado,,
,Administración de Pequeñas Empresas,,
<p>¿Cuál de las siguientes afirmaciones no es correcta sobre el EIN?</p>,1,"one, shuffle","El EIN no es un reemplazo del número de seguro social para los propietarios, pero es necesario para la declaración de impuestos y otras operaciones comerciales. No es válido fuera de los Estados Unidos. Ver Capítulo 14, página 14-1."
,Se utiliza para declarar impuestos federales,,
,Es necesario para contratar empleados,,
*,Es válido fuera de los Estados Unidos,,
<p>¿Para qué tipo de entidades comerciales es necesario obtener un EIN?</p>,1,"one, shuffle","Un EIN es necesario para cualquier tipo de entidad comercial que tenga empleados, opere como una corporación o sociedad, o cumpla con otros requisitos específicos del IRS. Esto está explicado en el Capítulo 14, página 14-1."
*,Cualquier entidad comercial con empleados,,
,Solo empresas unipersonales,,
,Solo corporaciones,,
,Solo asociaciones,,
<p>¿Cuál es el uso principal del Número de Identificación Comercial de Oregón?</p>,1,"one, shuffle","El uso principal del Número de Identificación Comercial de Oregón es para la presentación de impuestos de nómina y otras obligaciones fiscales estatales. Este número es obligatorio para las empresas que operan en Oregón y tienen empleados. Referencia: Capítulo 14, página 14-1."
*,<p>Reportar compensación como funcionario corporativo</p>,,
,Contratación de empleados,,
,Registro de propiedad,,
,Acceso a servicios bancarios,,
<p>¿Cuál de los siguientes no es un requisito para obtener un Número de Identificación Comercial de Oregón?</p>,1,"one, shuffle","No se requiere un registro de propiedad para obtener un Número de Identificación Comercial de Oregón. Los requisitos incluyen tener empleados y estar obligado a presentar impuestos en el estado. Referencia: Capítulo 14, página 14-1."
,Tener empleados,,
*,Registro de propiedad,,
,Obligación de presentar impuestos,,
,Operar en el estado de Oregón,,
<p>¿Por qué es importante el Número de Identificación Comercial de Oregón para las empresas?</p>,1,"one, shuffle","<p>El Número de Identificación Comercial de Oregón es crucial porque permite a las empresas cumplir con las obligaciones fiscales del estado, incluyendo la presentación de impuestos de nómina y otros impuestos comerciales. Referencia: Capítulo 14, página 14-2.</p>"
,Permite acceder a préstamos,,
*,Cumplir con obligaciones fiscales,,
,Registrar el nombre comercial,,
,Contratar a trabajadores extranjeros,,
<p>¿Cuál de las siguientes afirmaciones sobre el Número de Identificación Comercial de Oregón no es correcta?</p>,1,"one, shuffle","<p>El Número de Identificación Comercial de Oregón no es necesario para el registro de la propiedad, sino para cumplir con las obligaciones fiscales y la presentación de impuestos de nómina. Referencia: Capítulo 14, página 14-2.</p>"
*,Es necesario para el registro de la propiedad,,
,<p>Se usa para retención de impuestos</p>,,
,Es obligatorio para las empresas con empleados,,
,<p>Se requiere para cumplir con impuestos de tránsito estatal</p>,,
